tenant_id;empresa_id;item_id;codigo;item;saldo_atual;sugestao_ajuste_para_zero;ent_total;sai_total;ajuste_total;ent_os_nf;sai_os_sem_origem;sai_com_origem;qtd_os_refs;flag_dupla_saida_prob
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;248;3RT20261AN20;CONTATOR AC3:25A 1NA1NF 220V 5060HZ PF;-27;27;31;58;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1605;10076457;MINIDISJUNTOR MDW-C 50A 3P;-26;26;145;101;-70;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;722;5SL11106MB;DISJ 1P B 10A 5SL1 110-6MB;-26;26;26;52;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;182;3RT20151BB42;CONTATOR AC3:7A 1NF 24VCC PARAFUSO;-26;26;57;83;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;723;5SL11207MB;DISJ 1P C 20A 5SL1 120-7MB;-25;25;51;76;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1063;5195;1040199| WQG1-M12B/AD13.0 TERMINACAO RETA ENGATE RAPIDO M-12X1.5 (PRETO);-25;25;55;80;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1056;11245;1040597| WQSG AD10.0B SUPORTE FECHADO AD-10.0 (PRETO);-25;25;70;95;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1072;5203;1040206| GMK-M12B CONTRA PORCA M-12X1.5 (PRETO);-25;25;75;100;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;211;5SL13257MB;DISJ 3P C 25A 5SL1 325-7MB;-24;24;25;49;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;790;3RT20251BB40;CONTATOR AC3:17A 1NA1NF 24VCC PF;-23;23;33;56;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1103;12428117;DISJUNTOR-MOTOR AZ MPW40-3-U010 AZUL 6,3-10 A;-22;22;22;44;0;22;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;249;3RT20181AN22;CONTATOR AC3:16A 1NF 220V 5060HZ PARAF;-21;21;22;43;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1133;184009062263;JUNCAO INTERNA I 38X38MM PZ #22 JJI38X38Z                   JEA;-20;20;20;40;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;422;61010008138-DUP422;CANALETA REC ABERTO  30X 80MM 2MT (BXA) CZ 105078     DUTOPLAST;-20;20;23;43;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;193;3RH29111FA40;BLOCO CONT.AUX.FRONTAL 4NA S00-S3 PARAF;-20;20;48;68;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;792;3RT20281AG20;CONTATOR AC3:38A 1NA1NF 110V 5060HZ PF;-20;20;20;40;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;824;3RQ39010D;PENTE DE CONEXÃO 16-POLOS;-20;20;20;40;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;747;5SL13067MB;DISJ 3P C 6A 5SL1 306-7MB;-20;20;24;50;6;0;4;6;2;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1075;5210;1040213| GMK-P13.5B CONTRA PORCA PG-13.5 (PRETO);-19;19;75;94;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;693;3RT20271BB40;CONTATOR AC3:32A 1NA+1NF 24VCC PARAFUSO;-19;19;23;42;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;260;3RV29255AB;BORNE ALIM. TRIF. CONEXÃO POR CIMA INNOV;-19;19;22;41;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;764;A7B10001295801;RELE TEMPO 7PU07 24-240V 0,1S-100H 1REV;-18;18;18;36;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1066;7494;1040378| WQG1-P11B/AD15.8 TERMINACAO RETA ENGATE RAPIDO PG-11 AD15.8 (PRETO);-18;18;57;75;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;769;A7B10001339607;RELE FALTASEQ. 3UG0718-1XK00 220 A 440V;-18;18;18;36;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1218;5205;1040208| GMK-G3/4B CONTRA PORCA GAS 3/4" (PRETO);-16;16;35;51;0;0;0;0;0;false
